Student ID,Dataset,Assembler,Parameters,Note
140355664,input1,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.04,
150346599,input2,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.04,
150434922,input3,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.04,
170857044,input1,spades 3.11.1,"--only-assembler -k 21,33,55,77",
170941022,input2,spades 3.11.1,"--only-assembler -k 21,33,55,77",
180103616,input3,spades 3.11.1,"--only-assembler -k 21,33,55,77",
180209871,input1,/data/SBCS-MSc-BioInf/2018/run_stride_1.sh,params are set directly in the script,
180279704,input2,/data/SBCS-MSc-BioInf/2018/run_stride_1.sh,params are set directly in the script,
180279863,input3,/data/SBCS-MSc-BioInf/2018/run_stride_1.sh,params are set directly in the script,
180330348,input1,soapdenovo r241,-K 45,(note that K is uppercase)
180339411,input2,soapdenovo r241,-K 45,(note that K is uppercase)
180601400,input3,soapdenovo r241,-K 45,(note that K is uppercase)
180603378,input1,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.06,
180609060,input2,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.06,
180703634,input3,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.06,
180788088,input1,spades 3.11.1,"--only-assembler -k 33,55,77,101",
180790715,input2,spades 3.11.1,"--only-assembler -k 33,55,77,101",
180791055,input3,spades 3.11.1,"--only-assembler -k 33,55,77,101",
180822555,input1,/data/SBCS-MSc-BioInf/2018/run_stride_2.sh,params are set directly in the script,
180832277,input2,/data/SBCS-MSc-BioInf/2018/run_stride_2.sh,params are set directly in the script,
180330348,input3,/data/SBCS-MSc-BioInf/2018/run_stride_2.sh,params are set directly in the script,
180940479,input1,soapdenovo r241,-K 65,(note that K is uppercase)
180946806,input2,soapdenovo r241,-K 65,(note that K is uppercase)
180957514,input3,soapdenovo r241,-K 65,(note that K is uppercase)
180962840,input1,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.08,
180986905,input2,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.08,
180991611,input3,masurca 3.2.8,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.08,
181040015,input1,masurca 3.2.2,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.04,
180928329,input2,masurca 3.2.2,CA_PARAMETERS =  cgwErrorRate=0.15  ovlErrorRate=0.06,
