student_id,n50,l50,total_size
180601400,203698,308,234694233
180609060,119895,605,245035513
170857044,41759,"1,448",229125407
180603378,1334,"33,363",136766789
180822555,24382,"2,545",228282698
180609060,119895,605,245035513
180330348,108318,571,234572671
180339411,106928,564,237137935
180822555,24382,"2,545",228282698
170857044,119895,605,245035513
180957514,31382,"1,849",237283877
180603378,1232,767,150487603
140355664,14301,"4,741",35163
170941022,119895,605,245035513
150434922,119895,605,245035513
180703634,10401,"6,274",243707216
180832277,13003,"3,432",217650931
180991611,111895,605,245035513
180991611,111895,605,245035513
180279704,16233,"3,485",216540441
181040015,55356,"1,393",269978556
180946806,103988,640,236690990
180790715,119895,605,14889
180788088,119895,605,10630
150346599,102220,706,245385233
180209871,24358,"2,544",41183
180103616,119895,605,14889
180928329,119895,605,245035513
180279863,17134,"3,323",216609972
180940479,98646,659,343732
180986905,119895,605,245035513
150346599,105894,670,245385233
180791055,290327,215,235376762
180981575,31382,1849,237283877
180962840,46971,1342,230652054
180991611,137600,516,250367070
180986905,118671,608,246079267
180788088,308383,202,7183
180790715,135145,499,702058
